site_id,avg_2022,avg_2023,avg_2024,avg2022_24,yrs_over12,yrs_over9,over35,max_read,min_read,min_date,max_date,daily_cnt,cnty_fips,cnty_nm,latitude,longitude,location_type,sensor_created_date,county,compliance_2024,monitor_type
161159,,,9.679102564102564,,0.0,1.0,3.0,51.05666666666667,1.1333333333333333,November 2023,December 2024,327.0,48157.0,Fort Bend,29.57438,-95.584496,0.0,2022-09-01 19:39:10,Fort Bend,out,PurpleAir
165203,,9.368416666666667,8.400404040404041,,0.0,1.0,4.0,39.27,0.7933333333333332,October 2022,December 2024,807.0,48201.0,Harris,30.023579,-95.45273,0.0,2022-09-29 21:44:38,Harris,in,PurpleAir
166381,,,9.893706896551723,,0.0,1.0,2.0,45.05,1.36,June 2023,December 2024,487.0,48201.0,Harris,29.801435,-95.09357,0.0,2022-10-11 16:12:21,Harris,out,PurpleAir
166391,,8.63130081300813,9.534430641821945,,0.0,1.0,3.0,40.29,1.8133333333333332,June 2023,December 2024,527.0,48201.0,Harris,29.79698,-95.07921,0.0,2022-10-11 16:12:38,Harris,out,PurpleAir
166399,,,9.782697495183044,,0.0,1.0,1.0,42.72666666666666,1.4166666666666663,June 2023,December 2024,524.0,48201.0,Harris,29.803095,-95.096,0.0,2022-10-11 16:12:47,Harris,out,PurpleAir
166413,,,9.412587064676618,,0.0,1.0,2.0,46.239999999999995,0.9633333333333334,July 2023,December 2024,379.0,48201.0,Harris,29.763874,-94.968155,0.0,2022-10-11 16:16:58,Harris,out,PurpleAir
166421,,,11.899675262655206,,0.0,1.0,5.0,49.92333333333333,2.833333333333333,August 2023,December 2024,500.0,48201.0,Harris,29.82794,-95.283745,0.0,2022-10-11 16:19:13,Harris,out,PurpleAir
166427,,8.075445026178011,,,0.0,0.0,1.0,37.96666666666667,1.4166666666666663,June 2023,December 2024,348.0,48201.0,Harris,29.763205,-95.00236,0.0,2022-10-11 16:21:14,Harris,in,PurpleAir
166435,,10.560649717514124,11.0736815920398,,0.0,2.0,5.0,93.5,1.4733333333333332,May 2023,December 2024,571.0,48201.0,Harris,29.74531,-95.2333,0.0,2022-10-11 16:25:07,Harris,out,PurpleAir
166441,,9.934910569105691,10.97157458563536,,0.0,2.0,3.0,45.9,2.55,June 2023,December 2024,567.0,48201.0,Harris,29.776548,-95.153625,0.0,2022-10-11 16:25:10,Harris,out,PurpleAir
173719,,8.142808988764045,8.116204986149585,,0.0,0.0,4.0,58.76333333333333,0.85,January 2023,December 2024,717.0,48201.0,Harris,29.775267,-95.693016,0.0,2022-12-22 22:08:58,Harris,in,PurpleAir
181765,,,11.890636277302942,,0.0,1.0,6.0,49.98,1.8133333333333332,May 2023,December 2024,440.0,48201.0,Harris,29.822308,-95.30618,0.0,2023-05-22 19:32:12,Harris,out,PurpleAir
186271,,,11.990826291079811,,0.0,1.0,8.0,48.22333333333333,1.87,October 2023,December 2024,443.0,48201.0,Harris,29.777805,-95.13781,0.0,2023-06-29 23:12:50,Harris,out,PurpleAir
186277,,,11.041949860724234,,0.0,1.0,3.0,50.03666666666666,1.643333333333333,November 2023,December 2024,404.0,48201.0,Harris,29.81704,-95.0665,0.0,2023-06-29 23:13:05,Harris,out,PurpleAir
186303,,,11.0844618599791,,0.0,1.0,2.0,49.24333333333333,1.643333333333333,February 2024,December 2024,319.0,48201.0,Harris,29.781633,-95.35113,0.0,2023-06-29 23:18:57,Harris,out,PurpleAir
186315,,,10.214046948356808,,0.0,1.0,3.0,51.11333333333333,1.36,July 2023,December 2024,518.0,48201.0,Harris,29.708698,-95.477104,0.0,2023-06-29 23:20:58,Harris,out,PurpleAir
186327,,,11.103572796934865,,0.0,1.0,3.0,61.370000000000005,1.8133333333333332,December 2023,December 2024,349.0,48201.0,Harris,29.79457,-95.14891,0.0,2023-06-29 23:22:53,Harris,out,PurpleAir
191215,,,11.42926694329184,,0.0,1.0,4.0,45.33333333333333,2.2666666666666666,August 2023,December 2024,390.0,48201.0,Harris,29.798594,-95.358116,0.0,2023-08-04 18:27:00,Harris,out,PurpleAir
194469,,,9.775236768802229,,0.0,1.0,2.0,85.11333333333333,0.7366666666666666,October 2023,December 2024,428.0,48201.0,Harris,30.094578,-95.48181,0.0,2023-09-06 15:15:03,Harris,out,PurpleAir
199057,,,10.572403755868544,,0.0,1.0,2.0,45.163333333333334,0.85,November 2023,December 2024,393.0,48339.0,Montgomery,30.176702,-95.50417,0.0,2023-10-16 14:17:22,Montgomery,out,PurpleAir
208397,,,8.626491228070176,,0.0,0.0,2.0,41.99,1.1333333333333333,February 2024,December 2024,323.0,48201.0,Harris,29.5832,-95.03727,0.0,2023-12-27 16:46:07,Harris,in,PurpleAir
