site_id,avg_2022_adj,avg_2022_unadj,avg_2023_adj,avg_2023_unadj,avg_2024_adj,avg_2024_unadj,avg2022_24_adj,avg2022_24_unadj,yrs_over12_adj,yrs_over12_unadj,yrs_over9_adj,yrs_over9_unadj,over35_adj,over35_unadj,max_read_adj,max_read_unadj,min_read_adj,min_read_unadj,min_date_adj,max_date_adj,daily_cnt_adj,cnty_nm_adj
31163,7.058443830570902,6.22803867403315,7.979462809917355,7.040702479338843,6.807180899908173,6.006336088154271,7.281695846798811,6.425025747175421,0.0,0.0,0.0,0.0,1.0,1.0,45.730000000000004,40.35,0.51,0.45,January 2022,December 2024,967.0,Harris
46237,,,,,3.841279926335175,3.389364640883978,,,0.0,0.0,0.0,0.0,0.0,0.0,19.04,16.8,0.5666666666666667,0.5,December 2023,December 2024,380.0,Harris
47879,,,9.24240506329114,8.155063291139241,8.951616161616162,7.898484848484848,,,0.0,0.0,1.0,0.0,2.0,1.0,44.25666666666666,39.05,1.3599999999999999,1.2,April 2023,December 2024,600.0,Harris
50567,8.527129987129987,7.523938223938224,9.612786259541984,8.481870229007633,9.360648769574944,8.259395973154364,9.16685500541564,8.088401475366739,0.0,0.0,2.0,0.0,2.0,1.0,42.16,37.2,1.4166666666666665,1.25,January 2022,December 2024,819.0,Harris
51959,7.714963167587477,6.80732044198895,8.839373848987108,7.799447513812155,8.361573802541544,7.377859237536657,8.305303606372043,7.328209064445921,0.0,0.0,0.0,0.0,3.0,2.0,60.18000000000001,53.1,1.02,0.9,January 2022,December 2024,1065.0,Harris
56059,8.173851851851852,7.2122222222222225,9.255764272559853,8.166850828729283,8.65930516431925,7.640563380281691,8.696307096243652,7.673212143744398,0.0,0.0,1.0,0.0,3.0,2.0,54.11666666666666,47.75,1.02,0.9,January 2022,December 2024,1077.0,Harris
96899,8.803370165745855,7.76767955801105,10.595414364640884,9.34889502762431,11.009914772727273,9.714630681818182,10.136233101038004,8.94373508915118,0.0,0.0,2.0,2.0,2.0,1.0,43.06666666666666,38.0,0.9633333333333334,0.8500000000000001,January 2022,December 2024,1076.0,Harris
97279,10.157265193370165,8.962292817679558,11.921471984805317,10.518945868945869,12.11931796349664,10.693515850144092,11.399351713890708,10.058251512256506,1.0,0.0,3.0,2.0,5.0,3.0,61.596666666666664,54.35,1.5866666666666667,1.4,January 2022,December 2024,1060.0,Harris
98139,6.637513812154696,5.856629834254143,7.78352670349908,6.867817679558011,6.890960614793468,6.080259365994236,7.104000376815748,6.26823562660213,0.0,0.0,0.0,0.0,2.0,2.0,43.17999999999999,38.099999999999994,0.6233333333333333,0.55,January 2022,December 2024,1071.0,Harris
98633,9.422476979742173,8.313950276243094,,,,,,,0.0,0.0,1.0,0.0,4.0,1.0,43.349999999999994,38.25,1.7566666666666664,1.5499999999999998,January 2022,December 2024,674.0,Harris
99171,,,11.487992633517496,10.13646408839779,10.960224719101122,9.670786516853934,,,0.0,0.0,2.0,2.0,10.0,5.0,68.62333333333333,60.55,1.643333333333333,1.45,October 2022,December 2024,805.0,Harris
99797,9.84450276243094,8.686325966850829,11.482357274401474,10.131491712707183,10.14427516158818,8.950831024930748,10.490378399473531,9.256216234829587,0.0,0.0,3.0,1.0,6.0,3.0,64.77,57.15,1.4733333333333332,1.3,January 2022,December 2024,1085.0,Harris
116073,4.097532228360958,3.6154696132596684,4.979309392265193,4.393508287292818,4.573608815426997,4.035537190082644,4.55015014535105,4.014838363545043,0.0,0.0,0.0,0.0,0.0,0.0,34.0,30.0,0.17,0.15000000000000002,January 2022,December 2024,1087.0,Galveston
127441,,,8.280101851851851,7.3059722222222225,8.49100529100529,7.492063492063492,,,0.0,0.0,0.0,0.0,4.0,3.0,61.31333333333333,54.1,0.11333333333333334,0.1,July 2022,December 2024,720.0,Harris
127451,5.783439306358381,5.103034682080925,7.053484224965707,6.223662551440329,5.643291666666666,4.979375,6.160071732663584,5.435357411173752,0.0,0.0,0.0,0.0,1.0,1.0,54.28666666666667,47.900000000000006,0.22666666666666668,0.2,January 2022,December 2024,909.0,Harris
127463,5.950871794871794,5.25076923076923,7.202569444444445,6.355208333333333,6.753086053412463,5.95860534124629,6.635509097576235,5.854860968449618,0.0,0.0,0.0,0.0,1.0,1.0,40.68666666666667,35.9,0.22666666666666668,0.2,January 2022,December 2024,998.0,Harris
127973,5.4765472312703585,4.8322475570032575,6.883434622467772,6.073618784530387,7.02966573816156,6.202646239554317,6.463215863966563,5.702837527029321,0.0,0.0,0.0,0.0,1.0,0.0,39.49666666666667,34.85,0.22666666666666668,0.2,February 2022,December 2024,1028.0,Harris
127995,,,6.257043235704324,5.52092050209205,5.272537313432836,4.652238805970149,,,0.0,0.0,0.0,0.0,0.0,0.0,31.846666666666668,28.1,0.33999999999999997,0.3,May 2022,December 2024,616.0,Harris
128007,4.907543859649122,4.330185758513932,6.281792014856082,5.542757660167131,5.817777777777778,5.133333333333334,5.669037884094327,5.002092250671466,0.0,0.0,0.0,0.0,2.0,0.0,38.70333333333333,34.15,0.22666666666666668,0.2,February 2022,December 2024,1045.0,Harris
133994,4.499677716390424,3.970303867403315,5.501675874769798,4.854419889502762,5.434848484848485,4.795454545454546,5.145400692002902,4.5400594341202085,0.0,0.0,0.0,0.0,2.0,1.0,44.879999999999995,39.599999999999994,0.17,0.15000000000000002,January 2022,December 2024,1087.0,Harris
135062,7.798612191958496,6.881128404669261,9.348040345821326,8.248270893371759,8.625386243386243,7.61063492063492,8.590679593722022,7.580011406225313,0.0,0.0,1.0,0.0,5.0,3.0,67.66,59.7,1.19,1.05,March 2022,December 2024,919.0,Harris
148709,,,11.179643916913946,9.86439169139466,10.393611111111111,9.170833333333333,,,0.0,0.0,2.0,2.0,5.0,3.0,65.16666666666666,57.5,1.8133333333333335,1.6,July 2022,December 2024,874.0,Harris
155367,,,9.854968847352024,8.695560747663551,9.842195945945946,8.684290540540541,,,0.0,0.0,2.0,0.0,2.0,1.0,48.05333333333333,42.4,1.6433333333333335,1.4500000000000002,September 2022,December 2024,609.0,Harris
161003,,,,,4.5375,4.0036764705882355,,,0.0,0.0,0.0,0.0,1.0,1.0,40.12,35.4,0.6799999999999999,0.6,May 2024,December 2024,204.0,Fort Bend
161015,,,,,9.57692077727952,8.450224215246637,,,0.0,0.0,1.0,0.0,3.0,2.0,46.46666666666667,41.0,1.5299999999999998,1.35,May 2024,December 2024,223.0,Fort Bend
161141,,,,,8.179702564102564,7.217384615384615,,,0.0,0.0,0.0,0.0,1.0,1.0,49.86666666666666,44.0,1.2466666666666668,1.1,December 2023,December 2024,344.0,Fort Bend
161159,,,,,9.145963791267306,8.069968051118211,,,0.0,0.0,1.0,0.0,6.0,4.0,67.83,59.85,0.7366666666666667,0.65,November 2023,December 2024,368.0,Fort Bend
