longitude,latitude,site_id,avg_2022,avg_2023,avg_2024,avg2022_24,yrs_over12,yrs_over9,over35,max_read,min_read,cnty_fips,county,monitor_type,compliance_2024,min_date,max_date,daily_cnt
-95.283745,29.82794,166421,,,10.623305084745763,,0.0,1.0,2.0,44.05,2.5,48201.0,,PurpleAir,out,August 2023,December 2024,505.0
-95.00236,29.763205,166427,,7.125392670157068,,,0.0,0.0,0.0,33.5,1.25,48201.0,,PurpleAir,in,June 2023,December 2024,348.0
-95.2333,29.74531,166435,,9.31822033898305,9.77089552238806,,0.0,2.0,3.0,82.5,1.2999999999999998,48201.0,,PurpleAir,out,May 2023,December 2024,571.0
-95.153625,29.776548,166441,,8.76609756097561,9.670936639118457,,0.0,1.0,2.0,40.5,2.25,48201.0,,PurpleAir,out,June 2023,December 2024,568.0
-95.693016,29.775267,173719,,7.1848314606741575,7.161357340720222,,0.0,0.0,3.0,51.849999999999994,0.75,48201.0,,PurpleAir,in,January 2023,December 2024,717.0
-94.9781,30.0583,180145,,,3.2526755852842806,,0.0,0.0,0.0,18.65,0.35,48291.0,,PurpleAir,in,September 2023,December 2024,401.0
-95.30618,29.822308,181765,,,10.491737891737891,,0.0,1.0,3.0,44.099999999999994,1.6,48201.0,,PurpleAir,out,May 2023,December 2024,440.0
-95.13781,29.777805,186271,,,10.580140845070423,,0.0,1.0,4.0,42.55,1.65,48201.0,,PurpleAir,out,October 2023,December 2024,443.0
-95.0665,29.81704,186277,,,9.742896935933148,,0.0,1.0,2.0,44.15,1.45,48201.0,,PurpleAir,out,November 2023,December 2024,404.0
-95.35113,29.781633,186303,,,9.780407523510972,,0.0,1.0,2.0,43.45,1.45,48201.0,,PurpleAir,out,February 2024,December 2024,319.0
-95.477104,29.708698,186315,,,9.012394366197183,,0.0,1.0,3.0,45.1,1.2000000000000002,48201.0,,PurpleAir,out,July 2023,December 2024,518.0
-95.14891,29.79457,186327,,,9.797270114942528,,0.0,1.0,3.0,54.15,1.6,48201.0,,PurpleAir,out,December 2023,December 2024,349.0
-95.358116,29.798594,191215,,,10.05599173553719,,0.0,1.0,1.0,40.0,2.0,48201.0,,PurpleAir,out,August 2023,December 2024,391.0
-95.48181,30.094578,194469,,,8.625208913649024,,0.0,0.0,2.0,75.1,0.6499999999999999,48201.0,,PurpleAir,in,October 2023,December 2024,428.0
-95.50417,30.176702,199057,,,9.330617977528089,,0.0,1.0,1.0,39.85,0.75,48339.0,,PurpleAir,out,November 2023,December 2024,394.0
-95.03727,29.5832,208397,,,7.6116099071207435,,0.0,0.0,1.0,37.05,1.0,48201.0,,PurpleAir,in,February 2024,December 2024,323.0
-95.354974,28.964394,480391012,,7.5125,7.948333333333334,,0.0,0.0,0.0,31.8,0.8,39.0,Brazoria,EPA,in,January 2023,December 2024,116.0
-94.861289,29.254474,481671034,7.995086705202312,9.771337579617834,7.031707317073171,8.266043867297773,0.0,1.0,3.0,50.9,0.1,167.0,Galveston,EPA,in,January 2018,December 2024,2301.0
-95.326137,29.901036,482010024,10.186233766233766,10.380678851174936,10.857104557640753,10.47467239168315,0.0,7.0,4.0,42.9,0.0,201.0,Harris,EPA,out,January 2018,December 2024,2700.0
-95.284096,29.828086,482010046,11.772159090909092,13.032551319648094,12.824464831804285,12.54305841412049,3.0,4.0,3.0,44.7,-0.8,201.0,Harris,EPA,out,May 2021,December 2024,1248.0
-95.499219,29.695729,482010055,9.45848214285714,10.837709497206705,10.6533527696793,10.316514803247715,0.0,3.0,2.0,40.7,2.7,201.0,Harris,EPA,out,April 2022,December 2024,925.0
-95.031232,29.770698,482010058,10.496078431372547,11.510028653295128,10.396363636363636,10.800823573677103,0.0,6.0,4.0,50.2,-0.1,201.0,Harris,EPA,out,January 2018,December 2024,2430.0
-95.635833,29.723333,482010066,8.035483870967742,9.41608187134503,9.060119047619049,8.837228263310607,0.0,2.0,3.0,43.6,-0.3,201.0,Harris,EPA,out,January 2021,December 2024,1281.0
-95.220582,29.767997,482011034,9.786167146974064,10.613636363636363,10.17185628742515,10.19055326601186,0.0,7.0,6.0,47.4,0.0,201.0,Harris,EPA,out,January 2018,December 2024,2408.0
-95.257593,29.733726,482011035,10.622435897435896,11.320558375634516,10.74064914992272,10.89454780766438,0.0,7.0,13.0,46.7,1.6,201.0,Harris,EPA,out,January 2018,December 2024,5255.0
-95.128508,29.670025,482011039,8.709417040358744,9.787113402061856,9.56910229645094,9.35521091295718,0.0,2.0,8.0,47.7,-0.8,201.0,Harris,EPA,out,January 2018,December 2024,3925.0
-95.015544,29.583047,482011050,8.436389684813754,8.641111111111112,7.743465909090909,8.273655568338592,0.0,0.0,1.0,45.6,1.4,201.0,Harris,EPA,in,January 2018,December 2024,2357.0
-95.38769,29.81453,482011052,11.252023121387282,12.416519174041298,11.906470588235294,11.858337627887956,1.0,7.0,5.0,44.2,0.9,201.0,Harris,EPA,out,January 2018,December 2024,1634.0
-95.425128,30.350302,483390078,9.688252148997137,10.187777777777775,12.04845070422535,10.641493543666757,1.0,4.0,5.0,39.7,-0.1,339.0,Montgomery,EPA,out,January 2018,December 2024,2363.0
