longitude,latitude,site_id,avg_2022,avg_2023,avg_2024,avg2022_24,yrs_over12,yrs_over9,over35,max_read,min_read,cnty_fips,county,monitor_type,compliance_2024,min_date,max_date,daily_cnt
-95.13602,29.691015,50567,8.527129987129987,9.612786259541984,9.360648769574944,9.16685500541564,0.0,2.0,2.0,42.16,1.4166666666666663,48201.0,Harris,PurpleAir,out,January 2022,December 2024,819.0
-95.48999,29.797358,51959,7.714963167587477,8.839373848987108,8.361573802541544,8.305303606372043,0.0,0.0,3.0,60.18000000000001,1.02,48201.0,Harris,PurpleAir,in,January 2022,December 2024,1065.0
-95.42064,29.723648,56059,8.173851851851852,9.255764272559853,8.65930516431925,8.696307096243652,0.0,1.0,3.0,54.11666666666666,1.02,48201.0,Harris,PurpleAir,in,January 2022,December 2024,1077.0
-95.61119,30.121622,96899,8.803370165745855,10.595414364640884,10.953019047619048,10.117267859335263,0.0,2.0,2.0,43.06666666666666,0.9633333333333334,48201.0,Harris,PurpleAir,out,January 2022,December 2024,1074.0
-95.23209,29.743322,97279,10.157265193370165,11.945819047619048,12.319871414441145,11.47431855181012,1.0,3.0,5.0,61.596666666666664,1.586666666666667,48201.0,Harris,PurpleAir,out,January 2022,December 2024,1049.0
-95.69566,29.81888,98139,6.637513812154696,7.829155060352831,7.91608695652174,7.460918609676422,0.0,0.0,2.0,43.17999999999999,0.85,48201.0,Harris,PurpleAir,in,January 2022,October 2024,997.0
-95.15422,29.705027,98633,9.422476979742173,,,,0.0,1.0,4.0,43.349999999999994,1.7566666666666664,48201.0,Harris,PurpleAir,in,January 2022,December 2024,673.0
-95.28896,29.84179,99171,,11.487992633517496,10.960224719101124,,0.0,2.0,10.0,68.62333333333333,1.643333333333333,48201.0,Harris,PurpleAir,out,October 2022,December 2024,805.0
-95.25296,29.737322,99797,9.84450276243094,11.482357274401474,10.16836111111111,10.498407049314508,0.0,3.0,6.0,64.77,1.7,48201.0,Harris,PurpleAir,out,January 2022,December 2024,1084.0
-95.04248,29.463194,116073,4.097532228360958,4.979309392265193,4.585773480662984,4.554205033763044,0.0,0.0,0.0,34.0,0.2266666666666666,48167.0,Galveston,PurpleAir,in,January 2022,December 2024,1086.0
-95.280334,29.809729,127441,,8.280101851851851,8.49100529100529,,0.0,0.0,4.0,61.31333333333333,0.1133333333333333,48201.0,Harris,PurpleAir,in,July 2022,December 2024,720.0
-95.35952,29.778414,127451,5.783439306358381,7.098444444444444,5.925601851851852,6.269161867551559,0.0,0.0,1.0,54.28666666666667,0.2266666666666666,48201.0,Harris,PurpleAir,in,January 2022,December 2024,874.0
-95.30717,29.803877,127463,5.950871794871794,7.202569444444445,6.753086053412463,6.635509097576235,0.0,0.0,1.0,40.68666666666667,0.2266666666666666,48201.0,Harris,PurpleAir,in,January 2022,December 2024,998.0
-95.46131,30.001331,127973,5.522203947368421,7.002403755868545,7.150946969696969,6.558518224311311,0.0,0.0,1.0,39.49666666666667,0.2266666666666666,48201.0,Harris,PurpleAir,in,February 2022,December 2024,1011.0
-95.368034,29.80605,127995,,6.301574468085106,5.384124031007752,,0.0,0.0,0.0,28.616666666666667,0.3399999999999999,48201.0,Harris,PurpleAir,in,May 2022,December 2024,559.0
